CREATE TABLE bintest (p postcode, d dps);
\copy bintest FROM '/home/dave/dev/postcode/data/binary.data' WITH BINARY;
SELECT * FROM bintest;
    p     | d  
----------+----
 SW19 6LR | 2E
 MK44 2HL | 1X
 IG10 1QD | 7E
 SR1 2JT  | 4W
 WA2 9HG  | 7A
 B60 9EZ  | 1J
 CT19 4AD | 3Q
 ME19 5WQ | 7Z
 SY5 0PN  | 1Y
 DL3 0JS  | 2E
 E11 1UB  | 9G
 CT12 5AA | 4R
 CA8 2AZ  | 7U
 NP20 2XE | 7G
 PO21 9JA | 8A
 MK4 3AA  | 7T
 NG3 4PA  | 3Z
 M30 0LZ  | 6H
 GY7 9NQ  | 5R
 E17 7PZ  | 3P
 IP13 0RZ | 1F
 BA21 3LH | 2F
 SN12 6BU | 1A
 TN24 0JZ | 8Y
 LS18 4EW | 6A
 ST18 9LP | 2L
 LN11 8GA | 9B
 JE3 1NT  | 5D
 BT79 7XE | 8T
 DE45 1UH | 8W
 SY11 4PZ | 2X
 SY16 1WA | 3E
 WS11 8WF | 6U
 G43 1RA  | 8T
 LS27 1AU | 8Y
 S63 6NN  | 2A
 B31 1RZ  | 9D
 IV1 1LR  | 5D
 OX7 9BL  | 5G
 DL8 5JN  | 8R
 WF6 2XA  | 2L
 IG8 0HW  | 3E
 OL13 9DH | 2R
 MK10 9JA | 8E
 PL30 4HP | 5B
 BD20 0HJ | 1R
 NE10 8ER | 1S
 BT32 3AY | 5J
 DL11 6AA | 3E
 CW1 5AL  | 5U
 DH1 4QU  | 4N
 GL53 7QZ | 6X
 TA7 8NN  | 4A
 SO50 6FH | 5X
 ME5 7BP  | 8D
 LE2 6BN  | 6A
 HR4 8DH  | 2T
 HD7 7BT  | 6D
 FY6 0PT  | 9Z
 BH2 5XG  | 2B
 OL4 5EX  | 1S
 ST7 2AQ  | 3U
 PH1 1JU  | 8Z
 CF64 5XG | 9A
 OX5 1GS  | 3N
 LU6 1AP  | 7R
 G61 2DT  | 9F
 LA23 1EL | 8U
 NP44 6EA | 6X
 GU31 5JR | 8L
 KA1 4AN  | 7Y
 PR9 8JQ  | 9P
 CA14 1YB | 4H
 TS12 1BS | 9H
 DE21 7HA | 2S
 PO33 4EL | 4R
 B80 7BA  | 5P
 M44 6ND  | 5S
 SN11 8WT | 7W
 L5 9RB   | 7Z
 MK3 6WU  | 2E
 SS5 6DP  | 6T
 DY7 5AP  | 6S
 TA10 0QX | 7J
 BT34 3LE | 9N
 TW4 6LT  | 2Y
 BN1 4YL  | 5R
 G20 6SP  | 7G
 HR2 7AJ  | 1Z
 SN8 2TL  | 8Q
 E10 7EW  | 9F
 SW2 4RX  | 6F
 PA2 8PS  | 5Z
 NN16 0DH | 7Q
 SL1 5HT  | 2E
 GL8 8NB  | 8F
 TN39 3DN | 1Y
 PL15 9DF | 3B
 LA9 5PN  | 7E
 GU12 6RQ | 8Z
 CB3 0HH  | 9W
 WD6 5JP  | 6F
